Dogleg Logs

x =[0.0413;0.6432;0.6756;0.9006;0.4818;0.7941;0.8919;0.9035;0.7755;0.9288;0.8659;0.5903]


fvalue =

    7.4743


tvals =

     0

iter =  50: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  51: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  52: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  53: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  54: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  55: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  56: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  57: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  58: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  59: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  60: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  61: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  62: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  63: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
iter =  64: x = [0.448891;0.226861;-0.10582;0.11984;0.816714;0.719764;0.421634;0.28627;0.00762297;0.0804983;0.31906;0.123879], F(x) = 5.056632
